"Scaffold"	"Start"	"End"	"Prop_TEs"
"Ca_s1__1"	10700001	10800000	0.16704
"Ca_s1__1"	10800001	10900000	0.13632
"Ca_s1__1"	10900001	11000000	0.27863
"Ca_s1__1"	11000001	11100000	0.28405
"Ca_s1__1"	11100001	11200000	0.24635
"Ca_s1__1"	11200001	11300000	0.23687
"Ca_s1__1"	11300001	11400000	0.24547
"Ca_s1__1"	11400001	11500000	0.27687
"Ca_s1__1"	11500001	11600000	0.19803
"Ca_s1__1"	11600001	11700000	0.11343
"Ca_s1__1"	11700001	11800000	0.10664
"Ca_s1__1"	11800001	11900000	0.11871
"Ca_s1__1"	11900001	12000000	0.15981
"Ca_s1__1"	12000001	12100000	0.11016
"Ca_s1__1"	12100001	12200000	0.23307
"Ca_s1__1"	12200001	12300000	0.15588
"Ca_s1__1"	12300001	12400000	0.14872
"Ca_s1__1"	12400001	12500000	0.28062
"Ca_s1__1"	12500001	12600000	0.24364
"Ca_s1__1"	12600001	12700000	0.24469
"Ca_s1__1"	12700001	12800000	0.21674
"Ca_s1__1"	12800001	12900000	0.20548
"Ca_s1__1"	12900001	13000000	0.21332
"Ca_s1__1"	13000001	13100000	0.30153
"Ca_s1__1"	13100001	13200000	0.34641
"Ca_s1__1"	13200001	13300000	0.22406
"Ca_s1__1"	13300001	13400000	0.25751
"Ca_s1__1"	13400001	13500000	0.28839
"Ca_s1__1"	13500001	13600000	0.31574
"Ca_s1__1"	13600001	13700000	0.37895
"Ca_s1__1"	13700001	13800000	0.3792
"Ca_s1__1"	13800001	13900000	0.19172
"Ca_s1__1"	13900001	14000000	0.2159
"Ca_s1__1"	14000001	14100000	0.23635
"Ca_s1__1"	14100001	14200000	0.23038
"Ca_s1__1"	14200001	14300000	0.20008
"Ca_s1__1"	14300001	14400000	0.21825
"Ca_s1__1"	14400001	14500000	0.24838
"Ca_s1__1"	14500001	14600000	0.25255
"Ca_s1__1"	14600001	14700000	0.29676
"Ca_s1__1"	14700001	14800000	0.25684
"Ca_s1__1"	14800001	14900000	0.39108
"Ca_s1__1"	14900001	15000000	0.26359
"Ca_s1__1"	15000001	15100000	0.20329
"Ca_s1__1"	15100001	15200000	0.35425
"Ca_s1__1"	15200001	15300000	0.35365
"Ca_s1__1"	15300001	15400000	0.33762
"Ca_s1__1"	15400001	15500000	0.4541
"Ca_s1__1"	15500001	15600000	0.38444
"Ca_s1__1"	15600001	15700000	0.47678
"Ca_s1__1"	15700001	15800000	0.49265
"Ca_s1__1"	15800001	15900000	0.42519
"Ca_s1__1"	15900001	16000000	0.48355
"Ca_s1__1"	16000001	16100000	0.46349
"Ca_s1__1"	16100001	16200000	0.45951
"Ca_s1__1"	16200001	16300000	0.41799
"Ca_s1__1"	16300001	16400000	0.4315
"Ca_s1__1"	16400001	16500000	0.44699
"Ca_s1__1"	16500001	16600000	0.39434
"Ca_s1__1"	16600001	16700000	0.42053
"Ca_s1__1"	16700001	16800000	0.35579
"Ca_s1__1"	16800001	16900000	0.21364
"Ca_s1__1"	16900001	17000000	0.35917
"Ca_s1__1"	17000001	17100000	0.43224
"Ca_s1__1"	17100001	17200000	0.38912
"Ca_s1__1"	17200001	17300000	0.31198
"Ca_s1__1"	17300001	17400000	0.33356
"Ca_s1__1"	17400001	17500000	0.31834
"Ca_s1__1"	17500001	17600000	0.37304
"Ca_s1__1"	17600001	17700000	0.21354
"Ca_s1__1"	17700001	17800000	0.39504
"Ca_s1__1"	17800001	17900000	0.44011
"Ca_s1__1"	17900001	18000000	0.29686
"Ca_s1__1"	18000001	18100000	0.35255
"Ca_s1__1"	18100001	18200000	0.36985
"Ca_s1__1"	18200001	18300000	0.34345
"Ca_s1__1"	18300001	18400000	0.42826
"Ca_s1__1"	18400001	18500000	0.41801
"Ca_s1__1"	18500001	18600000	0.42149
"Ca_s1__1"	18600001	18700000	0.32502
"Ca_s1__1"	18700001	18800000	0.25184
"Ca_s1__1"	18800001	18900000	0.2688
"Ca_s1__1"	18900001	19000000	0.37804
"Ca_s1__1"	19000001	19100000	0.28059
"Ca_s1__1"	19100001	19200000	0.18896
"Ca_s1__1"	19200001	19300000	0.33884
"Ca_s1__1"	19300001	19400000	0.46649
"Ca_s1__1"	19400001	19500000	0.44394
"Ca_s1__1"	19500001	19600000	0.36662
"Ca_s1__1"	19600001	19700000	0.35103
"Ca_s1__1"	19700001	19800000	0.30809
"Ca_s1__1"	19800001	19900000	0.32681
"Ca_s1__1"	19900001	20000000	0.30234
"Ca_s1__1"	20000001	20100000	0.30941
"Ca_s1__1"	20100001	20200000	0.38913
"Ca_s1__1"	20200001	20300000	0.29959
"Ca_s1__1"	20300001	20400000	0.35301
"Ca_s1__1"	20400001	20500000	0.30525
"Ca_s1__1"	20500001	20600000	0.45661
"Ca_s1__1"	20600001	20700000	0.31407
"Ca_s1__1"	20700001	20800000	0.36284
"Ca_s1__1"	20800001	20900000	0.33045
"Ca_s1__1"	20900001	21000000	0.4143
"Ca_s1__1"	21000001	21100000	0.368
"Ca_s1__1"	21100001	21200000	0.36541
"Ca_s1__1"	21200001	21300000	0.33947
"Ca_s1__1"	21300001	21400000	0.27089
"Ca_s1__1"	21400001	21500000	0.3175
"Ca_s1__1"	21500001	21600000	0.41318
"Ca_s1__1"	21600001	21700000	0.41761
"Ca_s1__1"	21700001	21800000	0.30631
"Ca_s1__1"	21800001	21900000	0.38766
"Ca_s1__1"	21900001	22000000	0.39729
"Ca_s1__1"	22000001	22100000	0.49032
"Ca_s1__1"	22100001	22200000	0.47409
"Ca_s1__1"	22200001	22300000	0.47128
"Ca_s1__1"	22300001	22400000	0.46694
"Ca_s1__1"	22400001	22500000	0.51481
"Ca_s1__1"	22500001	22600000	0.48905
"Ca_s1__1"	22600001	22700000	0.40697
"Ca_s1__1"	22700001	22800000	0.46313
"Ca_s1__1"	22800001	22900000	0.42291
"Ca_s1__1"	22900001	23000000	0.28407
"Ca_s1__1"	23000001	23100000	0.28199
"Ca_s1__1"	23100001	23200000	0.33612
"Ca_s1__1"	23200001	23300000	0.34546
"Ca_s1__1"	23300001	23400000	0.31474
"Ca_s1__1"	23400001	23500000	0.39713
"Ca_s1__1"	23500001	23600000	0.34969
"Ca_s1__1"	23600001	23700000	0.40791
"Ca_s1__1"	23700001	23800000	0.34433
"Ca_s1__1"	23800001	23900000	0.36813
"Ca_s1__1"	23900001	24000000	0.36718
"Ca_s1__1"	24000001	24100000	0.4051
"Ca_s1__1"	24100001	24200000	0.37446
"Ca_s1__1"	24200001	24300000	0.39559
"Ca_s1__1"	24300001	24400000	0.26673
"Ca_s1__1"	24400001	24500000	0.36188
"Ca_s1__1"	24500001	24600000	0.24066
"Ca_s1__1"	24600001	24700000	0.37867
"Ca_s1__1"	24700001	24800000	0.43351
"Ca_s1__1"	24800001	24900000	0.45484
"Ca_s1__1"	24900001	25000000	0.47868
"Ca_s1__1"	25000001	25100000	0.42458
"Ca_s1__1"	25100001	25200000	0.34517
"Ca_s1__1"	25200001	25300000	0.21896
"Ca_s1__1"	25300001	25400000	0.26123
"Ca_s1__1"	25400001	25500000	0.33974
"Ca_s1__1"	25500001	25600000	0.21347
"Ca_s1__1"	25600001	25700000	0.30812
"Ca_s1__1"	25700001	25800000	0.42065
"Ca_s1__1"	25800001	25900000	0.41288
"Ca_s1__1"	25900001	26000000	0.42055
"Ca_s1__1"	26000001	26100000	0.32797
"Ca_s1__1"	26100001	26200000	0.3254
"Ca_s1__1"	26200001	26300000	0.42827
"Ca_s1__1"	26300001	26400000	0.27422
"Ca_s1__1"	26400001	26500000	0.44322
"Ca_s1__1"	26500001	26600000	0.36643
"Ca_s1__1"	26600001	26700000	0.4163
"Ca_s1__1"	26700001	26800000	0.39303
"Ca_s1__1"	26800001	26900000	0.35456
"Ca_s1__1"	26900001	27000000	0.4183
"Ca_s1__1"	27000001	27100000	0.39841
"Ca_s1__1"	27100001	27200000	0.27778
"Ca_s1__1"	27200001	27300000	0.27166
"Ca_s1__1"	27300001	27400000	0.33918
"Ca_s1__1"	27400001	27500000	0.36469
"Ca_s1__1"	27500001	27600000	0.36175
"Ca_s1__1"	27600001	27700000	0.418
"Ca_s1__1"	27700001	27800000	0.36718
"Ca_s1__1"	27800001	27900000	0.25354
"Ca_s1__1"	27900001	28000000	0.3154
"Ca_s1__1"	28000001	28100000	0.34103
"Ca_s1__1"	28100001	28200000	0.31997
"Ca_s1__1"	28200001	28300000	0.27213
"Ca_s1__1"	28300001	28400000	0.24341
"Ca_s1__1"	28400001	28500000	0.24546
"Ca_s1__1"	28500001	28600000	0.25086
"Ca_s1__1"	28600001	28700000	0.22675
"Ca_s1__1"	28700001	28800000	0.14392
"Ca_s1__1"	28800001	28900000	0.21649
"Ca_s1__1"	28900001	29000000	0.20778
"Ca_s1__1"	29000001	29100000	0.15423
"Ca_s1__1"	29100001	29200000	0.17337
"Ca_s1__1"	29200001	29300000	0.15759
"Ca_s1__1"	29300001	29400000	0.20175
"Ca_s1__1"	29400001	29500000	0.1808
"Ca_s1__1"	29500001	29600000	0.2331
"Ca_s1__1"	29600001	29700000	0.26663
"Ca_s1__1"	29700001	29800000	0.22189
"Ca_s1__1"	29800001	29900000	0.26061
"Ca_s1__1"	29900001	30000000	0.26617
"Ca_s1__1"	30000001	30100000	0.31508
"Ca_s1__1"	30100001	30200000	0.2305
"Ca_s1__1"	30200001	30300000	0.32905
"Ca_s1__1"	30300001	30400000	0.28442
"Ca_s1__1"	30400001	30500000	0.32385
"Ca_s1__1"	30500001	30600000	0.17609
"Ca_s1__1"	30600001	30700000	0.2329
"Ca_s1__1"	30700001	30800000	0.23366
"Ca_s1__1"	30800001	30900000	0.25456
"Ca_s1__1"	30900001	31000000	0.38878
"Ca_s1__1"	31000001	31100000	0.34503
"Ca_s1__1"	31100001	31200000	0.28912
"Ca_s1__1"	31200001	31300000	0.37238
"Ca_s1__1"	31300001	31400000	0.37007
"Ca_s1__1"	31400001	31500000	0.3325
"Ca_s1__1"	31500001	31600000	0.40327
"Ca_s1__1"	31600001	31700000	0.3681
"Ca_s1__1"	31700001	31800000	0.36538
"Ca_s1__1"	31800001	31900000	0.37345
"Ca_s1__1"	31900001	32000000	0.25285
"Ca_s1__1"	32000001	32100000	0.44457
"Ca_s1__1"	32100001	32200000	0.53073
"Ca_s1__1"	32200001	32300000	0.49698
"Ca_s1__1"	32300001	32400000	0.47543
"Ca_s1__1"	32400001	32500000	0.3458
"Ca_s1__1"	32500001	32600000	0.31705
"Ca_s1__1"	32600001	32700000	0.51483
"Ca_s1__1"	32700001	32800000	0.62428
"Ca_s1__1"	32800001	32900000	0.52167
"Ca_s1__1"	32900001	33000000	0.35971
"Ca_s1__1"	33000001	33100000	0.50078
"Ca_s1__1"	33100001	33200000	0.62603
"Ca_s1__1"	33200001	33300000	0.61618
"Ca_s1__1"	33300001	33400000	0.63627
"Ca_s1__1"	33400001	33500000	0.53522
"Ca_s1__1"	33500001	33600000	0.54933
"Ca_s1__1"	33600001	33700000	0.60143
"Ca_s1__1"	33700001	33800000	0.60799
"Ca_s1__1"	33800001	33900000	0.6618
"Ca_s1__1"	33900001	34000000	0.62662
"Ca_s1__1"	34000001	34100000	0.6023
"Ca_s1__1"	34100001	34200000	0.62586
"Ca_s1__1"	34200001	34300000	0.56744
"Ca_s1__1"	34300001	34400000	0.62655
"Ca_s1__1"	34400001	34500000	0.62492
"Ca_s1__1"	34500001	34600000	0.46813
"Ca_s1__1"	34600001	34700000	0.48024
"Ca_s1__1"	34700001	34800000	0.39977
"Ca_s1__1"	34800001	34900000	0.56832
"Ca_s1__1"	34900001	35000000	0.50606
"Ca_s1__1"	35000001	35100000	0.55912
"Ca_s1__1"	35100001	35200000	0.38759
"Ca_s1__1"	35200001	35300000	0.48178
"Ca_s1__1"	35300001	35400000	0.53126
"Ca_s1__1"	35400001	35500000	0.56257
"Ca_s1__1"	35500001	35600000	0.60653
"Ca_s1__1"	35600001	35700000	0.55707
"Ca_s1__1"	35700001	35800000	0.54846
"Ca_s1__1"	35800001	35900000	0.48514
"Ca_s1__1"	35900001	36000000	0.52705
"Ca_s1__1"	36000001	36100000	0.5724
"Ca_s1__1"	36100001	36200000	0.55015
"Ca_s1__1"	36200001	36300000	0.54838
"Ca_s1__1"	36300001	36400000	0.51975
"Ca_s1__1"	36400001	36500000	0.45281
"Ca_s1__1"	36500001	36600000	0.48654
"Ca_s1__1"	36600001	36700000	0.42436
"Ca_s1__1"	36700001	36800000	0.43212
"Ca_s1__1"	36800001	36900000	0.38628
"Ca_s1__1"	36900001	37000000	0.49727
"Ca_s1__1"	37000001	37100000	0.42027
"Ca_s1__1"	37100001	37200000	0.37356
"Ca_s1__1"	37200001	37300000	0.43231
"Ca_s1__1"	37300001	37400000	0.31938
"Ca_s1__1"	37400001	37500000	0.40099
"Ca_s1__1"	37500001	37600000	0.3016
"Ca_s1__1"	37600001	37700000	0.29211
"Ca_s1__1"	37700001	37800000	0.21885
"Ca_s1__1"	37800001	37900000	0.25624
"Ca_s1__1"	37900001	38000000	0.30248
"Ca_s1__1"	38000001	38100000	0.22878
"Ca_s1__1"	38100001	38200000	0.258
"Ca_s1__1"	38200001	38300000	0.2317
"Ca_s1__1"	38300001	38400000	0.3836
"Ca_s1__1"	38400001	38500000	0.25787
"Ca_s1__1"	38500001	38600000	0.30436
"Ca_s1__1"	38600001	38700000	0.30312
"Ca_s1__1"	38700001	38800000	0.40922
"Ca_s1__1"	38800001	38900000	0.37228
"Ca_s1__1"	38900001	39000000	0.28812
"Ca_s1__1"	39000001	39100000	0.4183
"Ca_s1__1"	39100001	39200000	0.35556
"Ca_s1__1"	39200001	39300000	0.48131
"Ca_s1__1"	39300001	39400000	0.3154
"Ca_s1__1"	39400001	39500000	0.40182
"Ca_s1__1"	39500001	39600000	0.45929
"Ca_s1__1"	39600001	39700000	0.31193
"Ca_s1__1"	39700001	39800000	0.36196
"Ca_s1__1"	39800001	39900000	0.60879
"Ca_s1__1"	39900001	40000000	0.44791
"Ca_s1__1"	40000001	40100000	0.31237
"Ca_s1__1"	40100001	40200000	0.40063
"Ca_s1__1"	40200001	40300000	0.47583
"Ca_s1__1"	40300001	40400000	0.36995
"Ca_s1__1"	40400001	40500000	0.36907
"Ca_s1__1"	40500001	40600000	0.28113
"Ca_s1__1"	40600001	40700000	0.38989
"Ca_s1__1"	40700001	40800000	0.35753
"Ca_s1__1"	40800001	40900000	0.57075
"Ca_s1__1"	40900001	41000000	0.48856
"Ca_s1__1"	41000001	41100000	0.53206
"Ca_s1__1"	41100001	41200000	0.43831
"Ca_s1__1"	41200001	41300000	0.49722
"Ca_s1__1"	41300001	41400000	0.4222
"Ca_s1__1"	41400001	41500000	0.40473
"Ca_s1__1"	41500001	41600000	0.35704
"Ca_s1__1"	41600001	41700000	0.44317
"Ca_s1__1"	41700001	41800000	0.18464
"Ca_s1__1"	41800001	41900000	0.39575
"Ca_s1__1"	41900001	42000000	0.45082
"Ca_s1__1"	42000001	42100000	0.4091
"Ca_s1__1"	42100001	42200000	0.35628
"Ca_s1__1"	42200001	42300000	0.26496
"Ca_s1__1"	42300001	42400000	0.26947
"Ca_s1__1"	42400001	42500000	0.38286
"Ca_s1__1"	42500001	42600000	0.36225
"Ca_s1__1"	42600001	42700000	0.17744
"Ca_s1__1"	42700001	42800000	0.17398
"Ca_s1__1"	42800001	42900000	0.32851
"Ca_s1__1"	42900001	43000000	0.31576
"Ca_s1__1"	43000001	43100000	0.39044
"Ca_s1__1"	43100001	43200000	0.41393
"Ca_s1__1"	43200001	43300000	0.3451
"Ca_s1__1"	43300001	43400000	0.25848
"Ca_s1__1"	43400001	43500000	0.16081
"Ca_s1__1"	43500001	43600000	0.41202
"Ca_s1__1"	43600001	43700000	0.41278
"Ca_s1__1"	43700001	43800000	0.41275
"Ca_s1__1"	43800001	43900000	0.35884
"Ca_s1__1"	43900001	44000000	0.33829
"Ca_s1__1"	44000001	44100000	0.34765
"Ca_s1__1"	44100001	44200000	0.26213
"Ca_s1__1"	44200001	44300000	0.25345
"Ca_s1__1"	44300001	44400000	0.25589
"Ca_s1__1"	44400001	44500000	0.278
"Ca_s1__1"	44500001	44600000	0.1506
"Ca_s1__1"	44600001	44700000	0.30495
"Ca_s1__1"	44700001	44800000	0.19242
"Ca_s1__1"	44800001	44900000	0.23534
"Ca_s1__1"	44900001	45000000	0.17119
"Ca_s1__1"	45000001	45100000	0.28382
"Ca_s1__1"	45100001	45200000	0.15483
"Ca_s1__1"	45200001	45300000	0.24197
"Ca_s1__1"	45300001	45400000	0.16767
"Ca_s1__1"	45400001	45500000	0.21428
"Ca_s1__1"	45500001	45600000	0.35166
"Ca_s1__1"	45600001	45700000	0.28756
"Ca_s1__1"	45700001	45800000	0.31954
"Ca_s1__1"	45800001	45900000	0.33563
"Ca_s1__1"	45900001	46000000	0.36002
"Ca_s1__1"	46000001	46100000	0.39346
"Ca_s1__1"	46100001	46200000	0.41742
"Ca_s1__1"	46200001	46300000	0.30992
"Ca_s1__1"	46300001	46400000	0.21721
"Ca_s1__1"	46400001	46500000	0.29725
"Ca_s1__1"	46500001	46600000	0.34138
"Ca_s1__1"	46600001	46700000	0.36607
"Ca_s1__1"	46700001	46800000	0.34722
"Ca_s1__1"	46800001	46900000	0.36694
"Ca_s1__1"	46900001	47000000	0.26871
"Ca_s1__1"	47000001	47100000	0.17786
"Ca_s1__1"	47100001	47200000	0.25011
"Ca_s1__1"	47200001	47300000	0.27738
"Ca_s1__1"	47300001	47400000	0.47009
"Ca_s1__1"	47400001	47500000	0.38375
"Ca_s1__1"	47500001	47600000	0.55236
"Ca_s1__1"	47600001	47700000	0.48544
"Ca_s1__1"	47700001	47800000	0.53554
"Ca_s1__1"	47800001	47900000	0.39543
"Ca_s1__1"	47900001	48000000	0.25625
"Ca_s1__1"	48000001	48100000	0.47682
"Ca_s1__1"	48100001	48200000	0.59692
"Ca_s1__1"	48200001	48300000	0.69734
"Ca_s1__1"	48300001	48400000	0.68678
"Ca_s1__1"	48400001	48500000	0.5393
"Ca_s1__1"	48500001	48600000	0.7373
"Ca_s1__1"	48600001	48700000	0.566
"Ca_s1__1"	48700001	48800000	0.59054
"Ca_s1__1"	48800001	48900000	0.66774
"Ca_s1__1"	48900001	49000000	0.71115
"Ca_s1__1"	49000001	49100000	0.60708
"Ca_s1__1"	49100001	49200000	0.61306
"Ca_s1__1"	49200001	49300000	0.53025
"Ca_s1__1"	49300001	49400000	0.53676
"Ca_s1__1"	49400001	49500000	0.64758
"Ca_s1__1"	49500001	49600000	0.64028
"Ca_s1__1"	49600001	49700000	0.65446
"Ca_s1__1"	49700001	49800000	0.58053
"Ca_s1__1"	49800001	49900000	0.55653
"Ca_s1__1"	49900001	50000000	0.52654
"Ca_s1__1"	50000001	50100000	0.60743
"Ca_s1__1"	50100001	50200000	0.55215
"Ca_s1__1"	50200001	50300000	0.69124
"Ca_s1__1"	50300001	50400000	0.5464
"Ca_s1__1"	50400001	50500000	0.61682
"Ca_s1__1"	50500001	50600000	0.45442
"Ca_s1__1"	50600001	50700000	0.48702
"Ca_s1__1"	50700001	50800000	0.37961
"Ca_s1__1"	50800001	50900000	0.38752
"Ca_s1__1"	50900001	51000000	0.58565
"Ca_s1__1"	51000001	51100000	0.67898
"Ca_s1__1"	51100001	51200000	0.71511
"Ca_s1__1"	51200001	51300000	0.47501
"Ca_s1__1"	51300001	51400000	0.66943
"Ca_s1__1"	51400001	51500000	0.51762
"Ca_s1__1"	51500001	51600000	0.41785
"Ca_s1__1"	51600001	51700000	0.35961
"Ca_s1__1"	51700001	51800000	0.60157
"Ca_s1__1"	51800001	51900000	0.55522
"Ca_s1__1"	51900001	52000000	0.5526
"Ca_s1__1"	52000001	52100000	0.52328
"Ca_s1__1"	52100001	52200000	0.52019
"Ca_s1__1"	52200001	52300000	0.51662
"Ca_s1__1"	52300001	52400000	0.56117
"Ca_s1__1"	52400001	52500000	0.56127
"Ca_s1__1"	52500001	52600000	0.61899
"Ca_s1__1"	52600001	52700000	0.55261
"Ca_s1__1"	52700001	52800000	0.52517
"Ca_s1__1"	52800001	52900000	0.53555
"Ca_s1__1"	52900001	53000000	0.37389
"Ca_s1__1"	53000001	53100000	0.53264
"Ca_s1__1"	53100001	53200000	0.27865
"Ca_s1__1"	53200001	53300000	0.2177
"Ca_s1__1"	53300001	53400000	0.35607
"Ca_s1__1"	53400001	53500000	0.28544
"Ca_s1__1"	53500001	53600000	0.35412
"Ca_s1__1"	53600001	53700000	0.19548
"Ca_s1__1"	53700001	53800000	0.32237
"Ca_s1__1"	53800001	53900000	0.24381
"Ca_s1__1"	53900001	54000000	0.37092
"Ca_s1__1"	54000001	54100000	0.44636
"Ca_s1__1"	54100001	54200000	0.46357
"Ca_s1__1"	54200001	54300000	0.46299
"Ca_s1__1"	54300001	54400000	0.28182
"Ca_s1__1"	54400001	54500000	0.22928
"Ca_s1__1"	54500001	54600000	0.2662
"Ca_s1__1"	54600001	54700000	0.29768
"Ca_s1__1"	54700001	54800000	0.36903
"Ca_s1__1"	54800001	54900000	0.39215
"Ca_s1__1"	54900001	55000000	0.21129
"Ca_s1__1"	55000001	55100000	0.27085
"Ca_s1__1"	55100001	55200000	0.34024
"Ca_s1__1"	55200001	55300000	0.32806
"Ca_s1__1"	55300001	55400000	0.27689
"Ca_s1__1"	55400001	55500000	0.26529
"Ca_s1__1"	55500001	55600000	0.25135
"Ca_s1__1"	55600001	55700000	0.1881
"Ca_s1__1"	55700001	55800000	0.4448
"Ca_s1__1"	55800001	55900000	0.27301
"Ca_s1__1"	55900001	56000000	0.25397
"Ca_s1__1"	56000001	56100000	0.18085
"Ca_s1__1"	56100001	56200000	0.15807
"Ca_s1__1"	56200001	56300000	0.18474
"Ca_s1__1"	56300001	56400000	0.19469
"Ca_s1__1"	56400001	56500000	0.20629
"Ca_s1__1"	56500001	56600000	0.35698
"Ca_s1__1"	56600001	56700000	0.36953
"Ca_s1__1"	56700001	56800000	0.30284
"Ca_s1__1"	56800001	56900000	0.25572
"Ca_s1__1"	56900001	57000000	0.12618
"Ca_s1__1"	57000001	57100000	0.28972
"Ca_s1__1"	57100001	57200000	0.26047
"Ca_s1__1"	57200001	57300000	0.30246
"Ca_s1__1"	57300001	57400000	0.41955
"Ca_s1__1"	57400001	57500000	0.23649
"Ca_s1__1"	57500001	57600000	0.32638
"Ca_s1__1"	57600001	57700000	0.25217
"Ca_s1__1"	57700001	57800000	0.20779
"Ca_s1__1"	57800001	57900000	0.2082
"Ca_s1__1"	57900001	58000000	0.20531
"Ca_s1__1"	58000001	58100000	0.12999
"Ca_s1__1"	58100001	58200000	0.28048
